reviewid,s_protocol,s_protocol_version,s_standards_version,s_citation,s_intervention_name,s_study_design,s_study_rating,s_delivery_method_individual,s_delivery_method_school,s_delivery_method_small_group,s_delivery_method_whole_class,s_program_type_curriculum,s_program_type_policy,s_program_type_practice,s_program_type_school_level,s_program_type_supplement,s_program_type_teacher_level,s_studyid,f_findingid,f_intervention_name,f_comparison,f_outcome_measureid,f_outcome_measure,f_outcome_domain,new_outcome_domain,f_period,f_sample_description,f_is_subgroup,f_ss,f_t_ss,f_c_ss,f_cluster_ss,f_t_cluster_ss,f_c_cluster_ss,f_effect_size_study,f_effect_size_wwc,f_improvement_index,f_p_value_study,f_p_value_wwc,f_icc,f_essa_rating,asian,black,white,indigenous,new_race_other,el,econ_dis,latino,female,sped,low,high,time,grade,category,subgroup,broad_domain,effect_size,corr,var_t,var_t_corr,subgroup_black,subgroup_econ_dis,subgroup_el,subgroup_female,subgroup_high,subgroup_low,subgroup_latino,subgroup_sped,subgroup_site,subgroup_cohort,subgroup_white,subgroup_treatment,includes_black,includes_econ_dis,includes_el,includes_female,includes_high,includes_low,includes_latino,includes_sped,includes_white,subgroup_time,subgroup_grade,includes_time,includes_grade
22267,Early Childhood Education,2,2.0999999,"Farver, J. A. M., Lonigan, C. J., & Eppe, S. (2009). Effective early literacy skill development for young spanish-speaking english language learners: An experimental study of two methods. Child Development, 80(3), 703-719.",Literacy Express,randomized controlled trial,Meets WWC standards without reservations,0,0,1,1,1,0,0,0,0,0,25407,1209,Literacy Express,28.33,888,Preschool Comprehensive Test of Phonological and Print Processing (Pre-CTOPPP): Receptive Vocabulary subtest,oral language,Language proficiency,,preschoolers,False,94,62,32,,,,.55000001,.54779822,21,,.013199792,,Evidence Tier 1,0,56.790001,12.87,0,30.339996,100,,100,46,,,,,,,,Literacy,.54779822,.99182564,.049036913,.048238497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
22267,Early Childhood Education,2,2.0999999,"Farver, J. A. M., Lonigan, C. J., & Eppe, S. (2009). Effective early literacy skill development for young spanish-speaking english language learners: An experimental study of two methods. Child Development, 80(3), 703-719.",Literacy Express,randomized controlled trial,Meets WWC standards without reservations,0,0,1,1,1,0,0,0,0,0,25407,1218,Literacy Express,12.69,926,Preschool Comprehensive Test of Phonological and Print Processing (Pre-CTOPPP): Blending subtest,phonological processing,Phonics & alphabetics,,preschoolers,False,94,62,32,,,,.50999999,.50768214,19,,.021259598,,Evidence Tier 1,0,56.790001,12.87,0,30.339996,100,,100,46,,,,,,,,Literacy,.50768214,.99182564,.048802983,.048008379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
22267,Early Childhood Education,2,2.0999999,"Farver, J. A. M., Lonigan, C. J., & Eppe, S. (2009). Effective early literacy skill development for young spanish-speaking english language learners: An experimental study of two methods. Child Development, 80(3), 703-719.",Literacy Express,randomized controlled trial,Meets WWC standards without reservations,0,0,1,1,1,0,0,0,0,0,25407,1219,Literacy Express,6.3699999,928,Preschool Comprehensive Test of Phonological and Print Processing (Pre-CTOPPP): Elision subtest,phonological processing,Phonics & alphabetics,,preschoolers,False,94,62,32,,,,.56,.56424779,21,,.011672514,,Evidence Tier 1,0,56.790001,12.87,0,30.339996,100,,100,46,,,,,,,,Literacy,.56424779,.99182564,.049137972,.048337914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
22267,Early Childhood Education,2,2.0999999,"Farver, J. A. M., Lonigan, C. J., & Eppe, S. (2009). Effective early literacy skill development for young spanish-speaking english language learners: An experimental study of two methods. Child Development, 80(3), 703-719.",Literacy Express,randomized controlled trial,Meets WWC standards without reservations,0,0,1,1,1,0,0,0,0,0,25407,1210,Literacy Express,41.23,886,Preschool Comprehensive Test of Phonological and Print Processing (Pre-CTOPPP): Definitional Vocabulary subtest,oral language,Language proficiency,,preschoolers,False,94,62,32,,,,.60000002,.60302973,23,,.0070314058,,Evidence Tier 1,0,56.790001,12.87,0,30.339996,100,,100,46,,,,,,,,Literacy,.60302973,.99182564,.049388073,.048583943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
22267,Early Childhood Education,2,2.0999999,"Farver, J. A. M., Lonigan, C. J., & Eppe, S. (2009). Effective early literacy skill development for young spanish-speaking english language learners: An experimental study of two methods. Child Development, 80(3), 703-719.",Literacy Express,randomized controlled trial,Meets WWC standards without reservations,0,0,1,1,1,0,0,0,0,0,25407,1214,Literacy Express,16.610001,962,Preschool Comprehensive Test of Phonological and Print Processing (Pre-CTOPPP): Print Knowledge subtest,print knowledge,Phonics & alphabetics,,preschoolers,False,94,62,32,,,,.63999999,.64515567,24,,.0041370918,,Evidence Tier 1,0,56.790001,12.87,0,30.339996,100,,100,46,,,,,,,,Literacy,.64515567,.99182564,.049678572,.04886971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
51721,Early Childhood Education,2,2.0999999,"Lonigan, C. J., Farver, J. M., Clancy-Menchetti, J., & Phillips, B. M. (2005, April). Promoting the development of preschool childrenâs emergent literacy skills: A randomized evaluation of a literacy-focused curriculum and two professional development models. Paper presented at the biennial meeting of the Society for Research in Child Development, Atlanta, GA.",Literacy Express,randomized controlled trial,Meets WWC standards without reservations,0,0,1,1,1,0,0,0,0,0,63987,901,Literacy Express,9.5500002,322,Preschool Comprehensive Test of Phonological and Print Processing (Pre-CTOPPP): Non-Word Repetition subtest,cognition,Cognition,,preschoolers,False,722,486,236,48,30,18,-.11,-.11345568,-4,,.16664484,,,0,55.700001,7.9000001,0,36.399998,100,,35,49,,,,,,,,General achievement,-.11345568,.99895799,.0063038589,.0062907282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51721,Early Childhood Education,2,2.0999999,"Lonigan, C. J., Farver, J. M., Clancy-Menchetti, J., & Phillips, B. M. (2005, April). Promoting the development of preschool childrenâs emergent literacy skills: A randomized evaluation of a literacy-focused curriculum and two professional development models. Paper presented at the biennial meeting of the Society for Research in Child Development, Atlanta, GA.",Literacy Express,randomized controlled trial,Meets WWC standards without reservations,0,0,1,1,1,0,0,0,0,0,63987,898,Literacy Express,13.47,926,Preschool Comprehensive Test of Phonological and Print Processing (Pre-CTOPPP): Blending subtest,phonological processing,Phonics & alphabetics,,preschoolers,False,722,486,236,48,30,18,.15000001,.15196677,6,,.059642967,,,0,55.700001,7.9000001,0,36.399998,100,,35,49,,,,,,,,Literacy,.15196677,.99895799,.0063109724,.0062978272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51721,Early Childhood Education,2,2.0999999,"Lonigan, C. J., Farver, J. M., Clancy-Menchetti, J., & Phillips, B. M. (2005, April). Promoting the development of preschool childrenâs emergent literacy skills: A randomized evaluation of a literacy-focused curriculum and two professional development models. Paper presented at the biennial meeting of the Society for Research in Child Development, Atlanta, GA.",Literacy Express,randomized controlled trial,Meets WWC standards without reservations,0,0,1,1,1,0,0,0,0,0,63987,905,Literacy Express,50.66,893,Preschool Language Scale- IV (PLS-IV): Expressive Communication subtest,oral language,Language proficiency,,preschoolers,False,722,486,236,48,30,18,.30000001,.2954911,12,,.00018834975,,Evidence Tier 1,0,55.700001,7.9000001,0,36.399998,100,,35,49,,,,,,,,Literacy,.2954911,.99895799,.0063556633,.006342425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51721,Early Childhood Education,2,2.0999999,"Lonigan, C. J., Farver, J. M., Clancy-Menchetti, J., & Phillips, B. M. (2005, April). Promoting the development of preschool childrenâs emergent literacy skills: A randomized evaluation of a literacy-focused curriculum and two professional development models. Paper presented at the biennial meeting of the Society for Research in Child Development, Atlanta, GA.",Literacy Express,randomized controlled trial,Meets WWC standards without reservations,0,0,1,1,1,0,0,0,0,0,63987,899,Literacy Express,7.4299998,928,Preschool Comprehensive Test of Phonological and Print Processing (Pre-CTOPPP): Elision subtest,phonological processing,Phonics & alphabetics,,preschoolers,False,722,486,236,48,30,18,.38,.37522233,15,,2.6317473e-06,,Evidence Tier 1,0,55.700001,7.9000001,0,36.399998,100,,35,49,,,,,,,,Literacy,.37522233,.99895799,.0063928775,.0063795615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51721,Early Childhood Education,2,2.0999999,"Lonigan, C. J., Farver, J. M., Clancy-Menchetti, J., & Phillips, B. M. (2005, April). Promoting the development of preschool childrenâs emergent literacy skills: A randomized evaluation of a literacy-focused curriculum and two professional development models. Paper presented at the biennial meeting of the Society for Research in Child Development, Atlanta, GA.",Literacy Express,randomized controlled trial,Meets WWC standards without reservations,0,0,1,1,1,0,0,0,0,0,63987,903,Literacy Express,49.57,323,Preschool Comprehensive Test of Phonological and Print Processing (Pre-CTOPPP): Rapid Object Naming subtest,cognition,Cognition,,preschoolers,False,722,486,236,48,30,18,.079999998,.07964389,3,,.31411663,,,0,55.700001,7.9000001,0,36.399998,100,,35,49,,,,,,,,General achievement,.07964389,.99895799,.0062993155,.0062861945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
